,NSE,support,itemsets
13,3- Medio,0.6136363636363636, genero musica rock nacional
24,3- Medio,0.5, cine accion
20,3- Medio,0.45454545454545453, genero musica pop
14,4- Medio-Bajo,0.5538461538461539, genero musica folclore
16,4- Medio-Bajo,0.5384615384615384, genero musica rock nacional
22,4- Medio-Bajo,0.5076923076923077, genero musica melodica
11,5- Bajo,0.65625, genero musica cumbia
9,5- Bajo,0.53125, genero musica rock nacional
12,5- Bajo,0.53125, genero musica reggaeton
